Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-480.57614,72.658554,-415.84717,-582.053,1000.0,-457.54095,49.090225,-412.02972,-551.85486,1000.0,7.7029547691345215,23.537216186523438,155000,44.79760718345642,,30
-468.38657,35.028614,-421.86108,-506.3816,1000.0,-437.2251,27.57441,-386.32324,-467.9343,1000.0,9.78954029083252,18.1402587890625,160000,53.07895612716675,,31
-421.35287,70.4869,-348.49594,-516.7008,1000.0,-421.87158,32.99171,-369.48517,-468.2418,1000.0,4.253864288330078,17.299795150756836,165000,53.701168060302734,,32
-409.73804,9.059457,-398.6474,-420.83844,1000.0,-454.07233,32.135544,-413.74213,-489.8617,1000.0,-6.801525115966797,19.2793025970459,170000,54.32578706741333,,33
-365.68558,74.126884,-303.7905,-469.9062,1000.0,-391.44052,29.796165,-359.97662,-446.52325,1000.0,-0.08130289614200592,21.359655380249023,175000,54.96324014663696,,34
-328.0899,37.528282,-276.86996,-365.73926,1000.0,-326.18558,42.191284,-281.40918,-386.81024,1000.0,9.283110618591309,14.952165603637695,180000,55.599679946899414,,35
-317.7938,89.49402,-249.26285,-444.20807,1000.0,-367.83456,38.88006,-311.0569,-425.68817,1000.0,-0.8678738474845886,13.467968940734863,185000,56.22452116012573,,36
-341.39246,48.01658,-274.42822,-384.63318,1000.0,-384.32465,66.64503,-299.49268,-480.7887,1000.0,-7.491486072540283,26.584806442260742,190000,56.84378409385681,,37
-351.4559,14.214206,-331.41406,-362.82172,1000.0,-324.4353,36.203274,-272.31793,-375.7024,1000.0,2.555116653442383,17.525569915771484,195000,57.47769594192505,,38
-349.1757,29.485704,-313.46988,-385.68152,1000.0,-311.82782,36.62768,-260.1804,-356.74246,1000.0,3.267270803451538,15.50609016418457,200000,58.100977182388306,,39
-284.32718,26.450808,-250.25954,-314.74063,1000.0,-289.8443,45.032654,-234.32004,-366.06067,1000.0,4.2584075927734375,20.42442512512207,205000,58.72535800933838,,40
-236.4997,61.886143,-168.20174,-318.0447,1000.0,-223.62283,49.727646,-158.05698,-280.63705,1000.0,5.73234748840332,13.184356689453125,210000,67.13143396377563,,41
-205.18236,32.399395,-170.07715,-248.23593,1000.0,-255.48088,25.50305,-219.03113,-283.11807,1000.0,-4.007607936859131,14.201812744140625,215000,67.75323414802551,,42
-225.45325,40.98523,-169.41252,-266.29007,1000.0,-255.24973,54.001984,-152.7745,-307.11108,1000.0,-3.597918748855591,18.59172248840332,220000,68.38443899154663,,43
-237.53783,49.162403,-172.61499,-291.54413,1000.0,-244.99947,13.42203,-223.14761,-260.9997,1000.0,1.3030214309692383,21.21675682067871,225000,69.00353932380676,,44
-252.01762,45.910614,-187.63397,-291.4714,1000.0,-213.81625,43.005753,-173.00314,-286.77774,1000.0,2.3478636741638184,17.128143310546875,230000,69.64452505111694,,45
-288.56647,129.58081,-193.31946,-471.7731,1000.0,-280.24335,49.35177,-194.68704,-346.11786,1000.0,-4.952331066131592,31.216150283813477,235000,70.29179000854492,,46
-193.5833,7.8298125,-182.62498,-200.43929,1000.0,-194.17337,64.886284,-130.03696,-301.35907,1000.0,3.28503155708313,22.332931518554688,240000,70.91217517852783,,47
-228.73903,37.63953,-180.75272,-272.6843,1000.0,-263.01328,63.178394,-189.52213,-335.43552,1000.0,-5.519765377044678,22.379322052001953,245000,71.53470301628113,,48
-283.50278,36.747627,-248.6694,-334.31943,1000.0,-256.62598,24.43632,-229.10526,-295.7758,1000.0,-0.8108153343200684,15.447060585021973,250000,72.1833291053772,,49
-345.21323,94.98757,-225.9867,-458.42438,1000.0,-255.51059,32.447166,-210.09131,-307.3032,1000.0,1.3278175592422485,17.24384307861328,255000,72.80832099914551,,50
-213.64429,41.967297,-158.28017,-259.84637,1000.0,-207.68506,49.667145,-120.6767,-273.2143,1000.0,4.950133800506592,17.035552978515625,260000,81.78261923789978,,51
-146.8345,26.573217,-115.90372,-180.78418,1000.0,-196.33234,47.56251,-117.71275,-262.34067,1000.0,0.1553926020860672,12.220829963684082,265000,82.41565108299255,,52
-209.50941,32.60623,-163.98505,-238.62756,1000.0,-126.49142,32.82587,-77.77838,-171.81981,1000.0,5.222898483276367,13.331918716430664,270000,83.03896117210388,,53
-166.10164,22.577932,-141.86334,-196.22144,1000.0,-201.7815,58.72882,-151.19418,-295.30292,1000.0,-6.341268062591553,15.125425338745117,275000,83.65941023826599,,54
-141.31905,32.941093,-94.74677,-165.57532,1000.0,-177.93747,17.590685,-157.73,-208.30992,1000.0,-2.1968424320220947,15.9649658203125,280000,84.29134607315063,,55
-160.34372,76.68462,-54.744896,-234.53156,1000.0,-168.79941,64.371086,-73.45319,-267.4237,1000.0,2.3258345127105713,14.267049789428711,285000,84.91234612464905,,56
-47.85606,33.33716,-22.450375,-94.953125,1000.0,-144.14606,42.445873,-114.18141,-228.07857,1000.0,1.7434970140457153,13.181029319763184,290000,85.5414981842041,,57
-73.21338,34.130257,-40.929413,-120.4298,1000.0,-116.90348,88.25846,-32.640026,-241.36522,1000.0,4.492556095123291,17.67700958251953,295000,86.17053627967834,,58
-44.7391,54.111378,25.833063,-105.6521,1000.0,-106.55625,54.56066,-43.92974,-208.11699,1000.0,-1.361660361289978,16.22532081604004,300000,86.7957592010498,,59
-80.19561,16.706942,-56.89237,-95.22394,1000.0,-78.55455,22.76496,-46.828377,-103.84479,1000.0,-0.8357139825820923,14.256094932556152,305000,87.4182231426239,,60
-116.577614,50.574383,-54.543827,-178.42484,1000.0,-180.76996,74.34589,-90.870346,-275.99445,1000.0,-7.56711483001709,19.449291229248047,310000,96.54288625717163,,61
-156.2103,94.397705,-78.11978,-289.02545,1000.0,-119.125084,39.933372,-47.385086,-154.69946,1000.0,4.649393081665039,19.968896865844727,315000,97.17094492912292,,62
-44.453922,96.99435,46.751495,-178.78674,1000.0,-154.62718,73.092834,-56.70323,-271.07153,1000.0,-3.5067920684814453,21.358783721923828,320000,97.82609295845032,,63
25.304253,53.25554,75.87305,-48.315704,1000.0,-48.873497,52.338688,25.381483,-123.26449,1000.0,2.6515262126922607,13.586126327514648,325000,98.49854016304016,,64
-3.9464672,63.678513,44.05688,-93.93442,1000.0,-13.238981,54.516895,62.90778,-75.37827,1000.0,5.3029890060424805,17.87773895263672,330000,99.14685416221619,,65
51.325977,13.014696,64.62041,33.655285,1000.0,-34.34882,129.2499,50.766106,-289.13232,1000.0,-4.242630481719971,19.046260833740234,335000,99.77539706230164,,66
18.717613,49.70532,55.72317,-51.542957,1000.0,28.05722,26.474636,72.53932,-6.800087,1000.0,0.4375461935997009,16.155183792114258,340000,100.43271708488464,,67
63.7885,50.69696,127.758316,3.7648811,1000.0,-62.506676,52.596176,38.010372,-113.727936,1000.0,-3.2136995792388916,26.05600929260254,345000,101.07858610153198,,68
69.87714,81.02342,160.43488,-36.20193,1000.0,80.63607,99.80291,197.36787,-103.449875,1000.0,4.299273490905762,19.003137588500977,350000,101.74376106262207,,69
91.98376,111.38886,218.09537,-52.82238,1000.0,103.063515,41.102036,182.14139,62.517693,1000.0,-2.488769054412842,13.727998733520508,355000,102.37144207954407,,70
110.03467,38.109566,139.06961,56.194977,1000.0,83.72811,97.98278,191.70474,-64.75902,1000.0,2.2255420684814453,18.275737762451172,360000,110.66935014724731,,71
15.50221,7.419632,25.87135,8.925838,1000.0,108.53414,43.729595,161.29079,30.67059,1000.0,-0.9821426868438721,12.084479331970215,365000,111.32186222076416,,72
-31.555296,93.17084,78.01127,-149.72299,1000.0,46.131367,35.80322,95.84204,-9.602078,1000.0,-4.697283744812012,15.125435829162598,370000,111.94841003417969,,73
87.96859,46.549644,150.04724,37.955997,1000.0,31.327454,41.639652,64.51535,-49.467484,1000.0,3.124377489089966,14.978068351745605,375000,112.59890413284302,,74
146.76671,17.655817,169.24194,126.10892,1000.0,84.92726,75.81192,165.90251,-53.35302,1000.0,2.838876724243164,13.901267051696777,380000,113.26006603240967,,75
204.33716,40.46361,250.66293,152.08136,1000.0,117.522415,15.659756,136.80832,91.61946,1000.0,-1.9858613014221191,10.551434516906738,385000,113.94148111343384,,76
153.87688,45.79566,214.61824,104.04524,1000.0,72.56007,177.75423,216.02112,-274.70126,1000.0,-2.6988651752471924,33.014060974121094,390000,114.56685304641724,,77
231.25978,43.18647,288.5902,184.35934,1000.0,175.10709,48.065666,235.01207,134.4485,1000.0,2.0455052852630615,13.771660804748535,395000,115.19294309616089,,78
204.17302,36.58675,254.93674,170.12119,1000.0,252.11673,24.44432,297.042,230.66695,1000.0,6.374868869781494,13.924200057983398,400000,115.82861518859863,,79
194.48755,30.40456,237.36182,170.22127,1000.0,186.94345,75.468155,246.23697,41.301083,1000.0,-6.714653015136719,17.33976936340332,405000,116.45708799362183,,80
205.11491,62.032055,251.49356,117.43737,1000.0,237.98755,30.939854,295.99994,205.61504,1000.0,4.601466655731201,14.365418434143066,410000,124.64517307281494,,81
136.5169,30.201412,173.05432,99.09224,1000.0,156.81023,36.76189,203.17615,108.00421,1000.0,-4.333175182342529,15.484232902526855,415000,125.28384613990784,,82
51.290882,75.36168,156.07567,-17.959312,1000.0,143.6441,109.52719,269.15967,-60.542343,1000.0,-2.9170005321502686,20.25459098815918,420000,125.93993902206421,,83
175.0031,56.812527,239.23044,101.08475,1000.0,149.91624,33.428986,196.05988,110.16177,1000.0,12.384300231933594,21.574792861938477,425000,126.58390021324158,,84
120.683075,38.157604,163.79964,71.022736,1000.0,147.9014,51.988167,211.90643,72.84331,1000.0,1.4024673700332642,16.694324493408203,430000,127.21660995483398,,85
174.18071,23.045677,203.80789,147.60585,1000.0,171.99936,35.592995,213.13107,127.62314,1000.0,-0.6587731242179871,13.644122123718262,435000,127.85369110107422,,86
160.21062,12.338069,171.52454,143.04982,1000.0,146.83475,102.61676,268.539,-39.24955,1000.0,-3.251702070236206,20.707433700561523,440000,128.47773098945618,,87
206.60875,46.349903,252.04573,142.97473,1000.0,170.88869,52.04169,215.72173,83.63762,1000.0,-0.26625576615333557,13.523059844970703,445000,129.09547019004822,,88
336.58655,50.403896,383.1444,266.56253,1000.0,254.39717,65.456024,381.87708,196.8014,1000.0,5.992428302764893,15.96886920928955,450000,129.7200231552124,,89
258.5992,105.589165,355.39316,111.72985,1000.0,314.1844,45.43299,362.72913,242.17078,1000.0,3.633281707763672,15.508362770080566,455000,130.35489106178284,,90
303.4538,64.249176,358.432,213.31502,1000.0,264.7491,78.9664,364.52182,147.31345,1000.0,-2.609048366546631,22.06646728515625,460000,138.23964309692383,,91
197.97466,57.82761,248.33902,116.99263,1000.0,283.74747,61.823925,346.6905,182.73456,1000.0,-2.4658658504486084,17.01775550842285,465000,138.94991898536682,,92
284.95557,75.1603,390.80225,223.60808,1000.0,211.12595,163.7783,356.7219,-103.35156,1000.0,-4.505892276763916,25.243080139160156,470000,139.6887640953064,,93
294.51688,41.202045,328.1301,236.49103,1000.0,256.97452,32.055164,312.30057,216.56265,1000.0,0.2545720636844635,13.13223934173584,475000,140.3123960494995,,94
162.59358,96.87704,276.45392,39.673965,1000.0,268.41125,40.444023,304.5158,190.06302,1000.0,1.5593280792236328,11.432753562927246,480000,140.9995150566101,,95
224.07646,48.732677,261.09497,155.22305,1000.0,194.30391,55.41873,247.37045,92.08159,1000.0,-3.751807451248169,16.63803482055664,485000,141.6313672065735,,96
352.4454,19.322695,377.05435,329.8526,1000.0,217.21683,92.993835,330.9746,74.22669,1000.0,3.23944091796875,15.878768920898438,490000,142.2506401538849,,97
349.6036,16.466106,369.97284,329.64557,1000.0,338.91656,60.054253,407.21362,235.56067,1000.0,5.975811004638672,15.743851661682129,495000,142.873929977417,,98
286.71915,64.75889,357.8112,201.173,1000.0,361.1891,33.311337,407.0467,323.33014,1000.0,-0.191467747092247,13.98624038696289,500000,143.49773907661438,,99
